Input Direction,Data Type,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Compress Time,Uncompress Time,Compressed Size,Compression Ratio
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,BUFF,GZIP,2425360,688626,2784763,899630,94681.0,0.23670013299867015
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,BUFF,SNAPPY,2580152,786357,12665,5100,125012.0,0.3125268747312528
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,CHIMP,UNCOMPRESSED,668123,628752,16,20,102806.0,0.257012429875701
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,CHIMP,LZ4,681879,645316,11692,393680,103210.0,0.25802241977580215
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,CHIMP,GZIP,674531,633787,2369533,675169,98108.0,0.24526754732452702
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,CHIMP,SNAPPY,667659,628523,10335,4668,102815.0,0.2570349296507038
./Datasets/Real-World/Numerical/INT32/data/0.csv,INT32,PLAIN,UNCOMPRESSED,580889,206840,15,20,400004.0,1.0
./Datasets/Real-World/Numerical/INT32/data/0.csv,INT32,PLAIN,LZ4,604217,211444,48935,96957,14277.0,0.03569214307856925
./Datasets/Real-World/Numerical/INT32/data/0.csv,INT32,PLAIN,GZIP,583094,203815,1299330,547546,6208.0,0.015519844801551995
./Datasets/Real-World/Numerical/INT32/data/0.csv,INT32,PLAIN,SNAPPY,603897,207193,72075,72320,28006.0,0.07001429985700146
./Datasets/Real-World/Numerical/INT32/data/0.csv,INT32,TS_2DIFF,UNCOMPRESSED,437840,335646,15,15,24391.0,0.06097689023109774
./Datasets/Real-World/Numerical/INT32/data/0.csv,INT32,TS_2DIFF,LZ4,437295,336458,19450,26498,9551.0,0.023877261227387724
./Datasets/Real-World/Numerical/INT32/data/0.csv,INT32,TS_2DIFF,GZIP,435419,335679,410610,67227,5593.0,0.013982360176398232
./Datasets/Real-World/Numerical/INT32/data/0.csv,INT32,TS_2DIFF,SNAPPY,436080,336032,20597,9386,8568.0,0.021419785802141978
./Datasets/Real-World/Numerical/INT32/data/0.csv,INT32,RLE,UNCOMPRESSED,666794,295809,15,15,10633.0,0.026582234177658242
./Datasets/Real-World/Numerical/INT32/data/0.csv,INT32,RLE,LZ4,663351,298655,11509,21087,8268.0,0.020669793302066978
